snapshot_date,source_file,coverage_group,issue,sitemap,url,last_crawled,host,path,final_url,final_host,final_path,classification,locale,redirect_applied,redirect_notes
2026-03-24,portable-fire-pumps.com-Coverage-Drilldown-2026-03-24 (1).zip,Excluded,Crawled - currently not indexed,All known pages,http://portable-fire-pumps.com/about-us,2025-11-24,portable-fire-pumps.com,/about-us,https://www.portable-fire-pumps.com/en/about-us/,www.portable-fire-pumps.com,/en/about-us/,noncanonical_host_or_protocol,en,true,canonical_host_redirect;path_redirect:/about-us->/en/about-us/
2026-03-24,portable-fire-pumps.com-Coverage-Drilldown-2026-03-24 (1).zip,Excluded,Crawled - currently not indexed,All known pages,http://www.portable-fire-pumps.com/ft450,2025-11-18,www.portable-fire-pumps.com,/ft450,https://www.portable-fire-pumps.com/en/products/ft300-400-a/,www.portable-fire-pumps.com,/en/products/ft300-400-a/,noncanonical_host_or_protocol,en,true,canonical_host_redirect;path_redirect:/ft450->/en/products/ft300-400-a/
2026-03-24,portable-fire-pumps.com-Coverage-Drilldown-2026-03-24 (1).zip,Excluded,Crawled - currently not indexed,All known pages,http://www.portable-fire-pumps.com/water-cooled,2025-11-18,www.portable-fire-pumps.com,/water-cooled,https://www.portable-fire-pumps.com/en/products/water-cooled/,www.portable-fire-pumps.com,/en/products/water-cooled/,noncanonical_host_or_protocol,en,true,canonical_host_redirect;path_redirect:/water-cooled->/en/products/water-cooled/
2026-03-24,portable-fire-pumps.com-Coverage-Drilldown-2026-03-24.zip,Excluded,Discovered - currently not indexed,All known pages,https://www.portable-fire-pumps.com/en/about-us/,,www.portable-fire-pumps.com,/en/about-us/,https://www.portable-fire-pumps.com/en/about-us/,www.portable-fire-pumps.com,/en/about-us/,localized_current_style,en,false,
2026-03-24,portable-fire-pumps.com-Coverage-Drilldown-2026-03-24.zip,Excluded,Discovered - currently not indexed,All known pages,https://www.portable-fire-pumps.com/en/distributors/,,www.portable-fire-pumps.com,/en/distributors/,https://www.portable-fire-pumps.com/en/distributors/,www.portable-fire-pumps.com,/en/distributors/,localized_current_style,en,false,
2026-03-24,portable-fire-pumps.com-Coverage-Drilldown-2026-03-24.zip,Excluded,Discovered - currently not indexed,All known pages,https://www.portable-fire-pumps.com/en/features/,,www.portable-fire-pumps.com,/en/features/,https://www.portable-fire-pumps.com/en/features/,www.portable-fire-pumps.com,/en/features/,localized_current_style,en,false,
2026-03-24,portable-fire-pumps.com-Coverage-Drilldown-2026-03-24.zip,Excluded,Discovered - currently not indexed,All known pages,https://www.portable-fire-pumps.com/en/products/ff500ar-a/,,www.portable-fire-pumps.com,/en/products/ff500ar-a/,https://www.portable-fire-pumps.com/en/products/ff500ar-a/,www.portable-fire-pumps.com,/en/products/ff500ar-a/,localized_current_style,en,false,
2026-03-24,portable-fire-pumps.com-Coverage-Drilldown-2026-03-24.zip,Excluded,Discovered - currently not indexed,All known pages,https://www.portable-fire-pumps.com/en/products/fk500-a/,,www.portable-fire-pumps.com,/en/products/fk500-a/,https://www.portable-fire-pumps.com/en/products/fk500-a/,www.portable-fire-pumps.com,/en/products/fk500-a/,localized_current_style,en,false,
2026-03-24,portable-fire-pumps.com-Coverage-Drilldown-2026-03-24.zip,Excluded,Discovered - currently not indexed,All known pages,https://www.portable-fire-pumps.com/en/products/ft300-400-a/,,www.portable-fire-pumps.com,/en/products/ft300-400-a/,https://www.portable-fire-pumps.com/en/products/ft300-400-a/,www.portable-fire-pumps.com,/en/products/ft300-400-a/,localized_current_style,en,false,
2026-03-24,portable-fire-pumps.com-Coverage-Drilldown-2026-03-24.zip,Excluded,Discovered - currently not indexed,All known pages,https://www.portable-fire-pumps.com/en/products/tf516mh-ab/,,www.portable-fire-pumps.com,/en/products/tf516mh-ab/,https://www.portable-fire-pumps.com/en/products/tf516mh-ab/,www.portable-fire-pumps.com,/en/products/tf516mh-ab/,localized_current_style,en,false,
2026-03-24,portable-fire-pumps.com-Coverage-Drilldown-2026-03-24.zip,Excluded,Discovered - currently not indexed,All known pages,https://www.portable-fire-pumps.com/en/resources/,,www.portable-fire-pumps.com,/en/resources/,https://www.portable-fire-pumps.com/en/resources/,www.portable-fire-pumps.com,/en/resources/,localized_current_style,en,false,
2026-03-24,portable-fire-pumps.com-Coverage-Drilldown-2026-03-24.zip,Excluded,Discovered - currently not indexed,All known pages,https://www.portable-fire-pumps.com/fr/about-us/,,www.portable-fire-pumps.com,/fr/about-us/,https://www.portable-fire-pumps.com/fr/about-us/,www.portable-fire-pumps.com,/fr/about-us/,localized_current_style,fr,false,
2026-03-24,portable-fire-pumps.com-Coverage-Drilldown-2026-03-24.zip,Excluded,Discovered - currently not indexed,All known pages,https://www.portable-fire-pumps.com/fr/contact-us/,,www.portable-fire-pumps.com,/fr/contact-us/,https://www.portable-fire-pumps.com/fr/contact-us/,www.portable-fire-pumps.com,/fr/contact-us/,localized_current_style,fr,false,
2026-03-24,portable-fire-pumps.com-Coverage-Drilldown-2026-03-24.zip,Excluded,Discovered - currently not indexed,All known pages,https://www.portable-fire-pumps.com/fr/distributors/,,www.portable-fire-pumps.com,/fr/distributors/,https://www.portable-fire-pumps.com/fr/distributors/,www.portable-fire-pumps.com,/fr/distributors/,localized_current_style,fr,false,
2026-03-24,portable-fire-pumps.com-Coverage-Drilldown-2026-03-24.zip,Excluded,Discovered - currently not indexed,All known pages,https://www.portable-fire-pumps.com/fr/features/,,www.portable-fire-pumps.com,/fr/features/,https://www.portable-fire-pumps.com/fr/features/,www.portable-fire-pumps.com,/fr/features/,localized_current_style,fr,false,
2026-03-24,portable-fire-pumps.com-Coverage-Drilldown-2026-03-24.zip,Excluded,Discovered - currently not indexed,All known pages,https://www.portable-fire-pumps.com/fr/products/ff500ar-a/,,www.portable-fire-pumps.com,/fr/products/ff500ar-a/,https://www.portable-fire-pumps.com/fr/products/ff500ar-a/,www.portable-fire-pumps.com,/fr/products/ff500ar-a/,localized_current_style,fr,false,
2026-03-24,portable-fire-pumps.com-Coverage-Drilldown-2026-03-24.zip,Excluded,Discovered - currently not indexed,All known pages,https://www.portable-fire-pumps.com/fr/products/fk500-a/,,www.portable-fire-pumps.com,/fr/products/fk500-a/,https://www.portable-fire-pumps.com/fr/products/fk500-a/,www.portable-fire-pumps.com,/fr/products/fk500-a/,localized_current_style,fr,false,
2026-03-24,portable-fire-pumps.com-Coverage-Drilldown-2026-03-24.zip,Excluded,Discovered - currently not indexed,All known pages,https://www.portable-fire-pumps.com/fr/products/ft300-400-a/,,www.portable-fire-pumps.com,/fr/products/ft300-400-a/,https://www.portable-fire-pumps.com/fr/products/ft300-400-a/,www.portable-fire-pumps.com,/fr/products/ft300-400-a/,localized_current_style,fr,false,
2026-03-24,portable-fire-pumps.com-Coverage-Drilldown-2026-03-24.zip,Excluded,Discovered - currently not indexed,All known pages,https://www.portable-fire-pumps.com/fr/products/tf516mh-ab/,,www.portable-fire-pumps.com,/fr/products/tf516mh-ab/,https://www.portable-fire-pumps.com/fr/products/tf516mh-ab/,www.portable-fire-pumps.com,/fr/products/tf516mh-ab/,localized_current_style,fr,false,
2026-03-24,portable-fire-pumps.com-Coverage-Drilldown-2026-03-24.zip,Excluded,Discovered - currently not indexed,All known pages,https://www.portable-fire-pumps.com/fr/resources/,,www.portable-fire-pumps.com,/fr/resources/,https://www.portable-fire-pumps.com/fr/resources/,www.portable-fire-pumps.com,/fr/resources/,localized_current_style,fr,false,
