address,content_type,status_code,status,indexability,indexability_status,title_1,meta_description_1,h1_1,meta_robots_1,canonical_link_element_1,crawl_depth,inlinks,outlinks,response_time,redirect_url,redirect_type,language,crawl_timestamp,path,host,is_html,is_indexable_html,is_redirect,is_asset,is_localized_en,is_localized_fr,is_nonlocalized_html,has_trailing_slash,canonical_matches_self,redirect_target_path
https://www.portable-fire-pumps.com/,text/plain; charset=utf-8,301,Moved Permanently,Non-Indexable,Redirected,,,,,,0,0,0,0.48,https://www.portable-fire-pumps.com/en/,HTTP Redirect,,2026-03-24 12:40:52,/,www.portable-fire-pumps.com,false,false,true,true,false,false,false,true,false,/en/
https://www.portable-fire-pumps.com/en/,text/html; charset=UTF-8,200,OK,Indexable,,Portable Fire Pumps | Shibaura by Kojex,"Exclusive North American distributor for Shibaura portable fire pumps with product guidance, resources, and support.",High-Performance Portable Fire Pumps,"index, follow",https://www.portable-fire-pumps.com/en/,1,0,53,0.817,,,en,2026-03-24 12:40:53,/en/,www.portable-fire-pumps.com,true,true,false,false,true,false,false,true,true,
https://www.portable-fire-pumps.com/_astro/shibaura-ft510-portable-fire-pump-side-view.CCFWohDx.jpg,image/jpeg,200,OK,Indexable,,,,,,,2,0,0,0.343,,,,2026-03-24 12:40:57,/_astro/shibaura-ft510-portable-fire-pump-side-view.CCFWohDx.jpg,www.portable-fire-pumps.com,false,false,false,true,false,false,false,false,false,
https://www.portable-fire-pumps.com/en/long-distance-relay-pumping,text/html,301,Moved Permanently,Non-Indexable,Redirected,,,,,,2,26,0,0.444,https://www.portable-fire-pumps.com/en/long-distance-relay-pumping/,HTTP Redirect,,2026-03-24 12:40:57,/en/long-distance-relay-pumping,www.portable-fire-pumps.com,true,false,true,false,true,false,false,false,false,/en/long-distance-relay-pumping/
https://www.portable-fire-pumps.com/en,text/html,301,Moved Permanently,Non-Indexable,Redirected,,,,,,2,121,0,0.658,https://www.portable-fire-pumps.com/en/,HTTP Redirect,,2026-03-24 12:40:57,/en,www.portable-fire-pumps.com,true,false,true,false,true,false,false,false,false,/en/
https://www.portable-fire-pumps.com/en/products/ft510-a,text/html,301,Moved Permanently,Non-Indexable,Redirected,,,,,,2,13,0,0.776,https://www.portable-fire-pumps.com/en/products/ft510-a/,HTTP Redirect,,2026-03-24 12:40:57,/en/products/ft510-a,www.portable-fire-pumps.com,true,false,true,false,true,false,false,false,false,/en/products/ft510-a/
https://www.portable-fire-pumps.com/_astro/shibaura-p572s-portable-fire-pump-side-view.CbeXY2eT.jpg,image/jpeg,200,OK,Indexable,,,,,,,2,0,0,0.291,,,,2026-03-24 12:40:57,/_astro/shibaura-p572s-portable-fire-pump-side-view.CbeXY2eT.jpg,www.portable-fire-pumps.com,false,false,false,true,false,false,false,false,false,
https://www.portable-fire-pumps.com/en/products/ft300-400-a,text/html,301,Moved Permanently,Non-Indexable,Redirected,,,,,,2,13,0,0.783,https://www.portable-fire-pumps.com/en/products/ft300-400-a/,HTTP Redirect,,2026-03-24 12:40:57,/en/products/ft300-400-a,www.portable-fire-pumps.com,true,false,true,false,true,false,false,false,false,/en/products/ft300-400-a/
https://www.portable-fire-pumps.com/_astro/shibaura-ft400-portable-fire-pump-side-view.Cp8S1RgJ.jpg,image/jpeg,200,OK,Indexable,,,,,,,2,0,0,0.373,,,,2026-03-24 12:40:57,/_astro/shibaura-ft400-portable-fire-pump-side-view.Cp8S1RgJ.jpg,www.portable-fire-pumps.com,false,false,false,true,false,false,false,false,false,
https://www.portable-fire-pumps.com/en/products/fk500-a,text/html,301,Moved Permanently,Non-Indexable,Redirected,,,,,,2,8,0,0.969,https://www.portable-fire-pumps.com/en/products/fk500-a/,HTTP Redirect,,2026-03-24 12:40:57,/en/products/fk500-a,www.portable-fire-pumps.com,true,false,true,false,true,false,false,false,false,/en/products/fk500-a/
https://www.portable-fire-pumps.com/_astro/thanks.4C4ohdWF.css,text/css; charset=UTF-8,200,OK,Indexable,,,,,,,2,0,0,0.768,,,,2026-03-24 12:40:58,/_astro/thanks.4C4ohdWF.css,www.portable-fire-pumps.com,false,false,false,true,false,false,false,false,false,
https://www.portable-fire-pumps.com/en/about-us,text/html,301,Moved Permanently,Non-Indexable,Redirected,,,,,,2,35,0,0.616,https://www.portable-fire-pumps.com/en/about-us/,HTTP Redirect,,2026-03-24 12:40:58,/en/about-us,www.portable-fire-pumps.com,true,false,true,false,true,false,false,false,false,/en/about-us/
https://www.portable-fire-pumps.com/en/features,text/html,301,Moved Permanently,Non-Indexable,Redirected,,,,,,2,87,0,0.64,https://www.portable-fire-pumps.com/en/features/,HTTP Redirect,,2026-03-24 12:40:58,/en/features,www.portable-fire-pumps.com,true,false,true,false,true,false,false,false,false,/en/features/
