address,content_type,status_code,status,indexability,indexability_status,title_1,meta_description_1,h1_1,meta_robots_1,canonical_link_element_1,crawl_depth,inlinks,outlinks,response_time,redirect_url,redirect_type,language,crawl_timestamp,path,host,is_html,is_indexable_html,is_redirect,is_asset,is_localized_en,is_localized_fr,is_nonlocalized_html,has_trailing_slash,canonical_matches_self,redirect_target_path
https://www.portable-fire-pumps.com/fr/,text/html; charset=UTF-8,200,OK,Indexable,,Portable Fire Pumps | Shibaura par Kojex,Distributeur exclusif en Amérique du Nord des pompes à incendie portatives Shibaura avec ressources techniques et accompagnement.,Pompes incendie portatives haute performance,"index, follow",https://www.portable-fire-pumps.com/fr/,2,121,56,0.351,,,fr,2026-03-24 13:26:35,/fr/,www.portable-fire-pumps.com,true,true,false,false,false,true,false,true,true,
https://www.portable-fire-pumps.com/fr/products/,text/html; charset=UTF-8,200,OK,Indexable,,Produits | Portable Fire Pumps,Consultez la gamme de pompes à incendie portatives Shibaura pour la lutte contre les feux de forêt et les interventions d’urgence.,Pompes incendie portatives,"index, follow",https://www.portable-fire-pumps.com/fr/products/,3,42,60,0.46,,,fr,2026-03-24 13:26:35,/fr/products/,www.portable-fire-pumps.com,true,true,false,false,false,true,false,true,true,
https://www.portable-fire-pumps.com/fr/products//ft510-a,text/html,301,Moved Permanently,Non-Indexable,Redirected,,,,,,3,1,0,0.458,https://www.portable-fire-pumps.com/fr/products/ft510-a/,HTTP Redirect,,2026-03-24 13:26:36,/fr/products//ft510-a,www.portable-fire-pumps.com,true,false,true,false,false,true,false,false,false,/fr/products/ft510-a/
https://www.portable-fire-pumps.com/fr/products//p572s-a,text/html,301,Moved Permanently,Non-Indexable,Redirected,,,,,,3,1,0,0.601,https://www.portable-fire-pumps.com/fr/products/p572s-a/,HTTP Redirect,,2026-03-24 13:26:36,/fr/products//p572s-a,www.portable-fire-pumps.com,true,false,true,false,false,true,false,false,false,/fr/products/p572s-a/
https://www.portable-fire-pumps.com/fr/products//tf516mh-ab,text/html,301,Moved Permanently,Non-Indexable,Redirected,,,,,,3,1,0,0.604,https://www.portable-fire-pumps.com/fr/products/tf516mh-ab/,HTTP Redirect,,2026-03-24 13:26:36,/fr/products//tf516mh-ab,www.portable-fire-pumps.com,true,false,true,false,false,true,false,false,false,/fr/products/tf516mh-ab/
https://www.portable-fire-pumps.com/fr/products//ft300-400-a,text/html,301,Moved Permanently,Non-Indexable,Redirected,,,,,,3,1,0,0.661,https://www.portable-fire-pumps.com/fr/products/ft300-400-a/,HTTP Redirect,,2026-03-24 13:26:36,/fr/products//ft300-400-a,www.portable-fire-pumps.com,true,false,true,false,false,true,false,false,false,/fr/products/ft300-400-a/
https://www.portable-fire-pumps.com/fr/products//ff500ar-a,text/html,301,Moved Permanently,Non-Indexable,Redirected,,,,,,3,1,0,0.615,https://www.portable-fire-pumps.com/fr/products/ff500ar-a/,HTTP Redirect,,2026-03-24 13:26:36,/fr/products//ff500ar-a,www.portable-fire-pumps.com,true,false,true,false,false,true,false,false,false,/fr/products/ff500ar-a/
https://www.portable-fire-pumps.com/fr/products//fk500-a,text/html,301,Moved Permanently,Non-Indexable,Redirected,,,,,,3,1,0,0.639,https://www.portable-fire-pumps.com/fr/products/fk500-a/,HTTP Redirect,,2026-03-24 13:26:36,/fr/products//fk500-a,www.portable-fire-pumps.com,true,false,true,false,false,true,false,false,false,/fr/products/fk500-a/
https://www.portable-fire-pumps.com/fr/about-us/,text/html; charset=UTF-8,200,OK,Indexable,,À propos | Portable Fire Pumps,Découvrez Kojex International et son rôle de distributeur exclusif nord-américain des pompes à incendie portatives Shibaura.,Kojex International,"index, follow",https://www.portable-fire-pumps.com/fr/about-us/,3,54,40,0.576,,,fr,2026-03-24 13:26:37,/fr/about-us/,www.portable-fire-pumps.com,true,true,false,false,false,true,false,true,true,
https://www.portable-fire-pumps.com/fr/use-cases/,text/html; charset=UTF-8,200,OK,Indexable,,Cas d’usage des pompes à incendie portatives | Portable Fire Pumps,"Découvrez les cas d’usage des pompes à incendie portatives pour les interventions éloignées, les feux de forêt, les zones peu équipées en hydrants et l’acheminement d’eau sur longue distance.",Pompes à incendie portatives Scénarios d’intervention,"index, follow",https://www.portable-fire-pumps.com/fr/use-cases/,3,79,49,0.77,,,fr,2026-03-24 13:26:37,/fr/use-cases/,www.portable-fire-pumps.com,true,true,false,false,false,true,false,true,true,
https://www.portable-fire-pumps.com/fr/distributors/,text/html; charset=UTF-8,200,OK,Indexable,,Distributeurs | Portable Fire Pumps,Trouvez des partenaires distributeurs vérifiés des pompes à incendie portatives Shibaura avec leurs coordonnées régionales.,Distributeurs,"index, follow",https://www.portable-fire-pumps.com/fr/distributors/,3,60,40,0.768,,,fr,2026-03-24 13:26:37,/fr/distributors/,www.portable-fire-pumps.com,true,true,false,false,false,true,false,true,true,
https://www.portable-fire-pumps.com/fr/products/water-cooled/,text/html; charset=UTF-8,200,OK,Indexable,,Pompes refroidies à l’eau | Portable Fire Pumps,"Découvrez les pompes à incendie portatives Shibaura refroidies à l’eau, conçues pour des opérations soutenues à haut débit.",Conçues pour les opérations soutenues,"index, follow",https://www.portable-fire-pumps.com/fr/products/water-cooled/,3,31,49,0.586,,,fr,2026-03-24 13:26:38,/fr/products/water-cooled/,www.portable-fire-pumps.com,true,true,false,false,false,true,false,true,true,
https://www.portable-fire-pumps.com/en/products/ft300-400-a/,text/html; charset=UTF-8,200,OK,Indexable,,FT300 / 400-A Portable Fire Pump | Shibaura | Kojex,Compact and light weight. Lightweight portable fire pump designed for fast setup and reliable output.,FT300 / 400-A,"index, follow",https://www.portable-fire-pumps.com/en/products/ft300-400-a/,3,15,45,0.648,,,en,2026-03-24 13:26:39,/en/products/ft300-400-a/,www.portable-fire-pumps.com,true,true,false,false,true,false,false,true,true,
https://www.portable-fire-pumps.com/en/products/tf516mh-ab/,text/html; charset=UTF-8,200,OK,Indexable,,TF516MH-AB Portable Fire Pump | Shibaura | Kojex,"The smallest pump in its class, offering superior mobility. Smallest-in-class pump for rapid deployment and easy vehicle mounting.",TF516MH-AB,"index, follow",https://www.portable-fire-pumps.com/en/products/tf516mh-ab/,3,15,45,0.986,,,en,2026-03-24 13:26:39,/en/products/tf516mh-ab/,www.portable-fire-pumps.com,true,true,false,false,true,false,false,true,true,
https://www.portable-fire-pumps.com/fr/contact-us/,text/html; charset=UTF-8,200,OK,Indexable,,Contact | Portable Fire Pumps,"Contactez Kojex International pour les soumissions, les demandes distributeur et le soutien technique.",Nous joindre,"index, follow",https://www.portable-fire-pumps.com/fr/contact-us/,3,40,38,0.826,,,fr,2026-03-24 13:26:40,/fr/contact-us/,www.portable-fire-pumps.com,true,true,false,false,false,true,false,true,true,
https://www.portable-fire-pumps.com/fr/products/air-cooled/,text/html; charset=UTF-8,200,OK,Indexable,,Pompes refroidies à l’air | Portable Fire Pumps,"Découvrez les pompes à incendie portatives Shibaura refroidies à l’air, légères et conçues pour un déploiement rapide.",Conçues pour les prises d’eau variables,"index, follow",https://www.portable-fire-pumps.com/fr/products/air-cooled/,3,27,49,1.015,,,fr,2026-03-24 13:26:40,/fr/products/air-cooled/,www.portable-fire-pumps.com,true,true,false,false,false,true,false,true,true,
https://www.portable-fire-pumps.com/fr/features/,text/html; charset=UTF-8,200,OK,Indexable,,Caractéristiques | Portable Fire Pumps,Découvrez le système Auto Relay et les principales caractéristiques techniques des pompes à incendie portatives Shibaura.,Caractéristiques des pompes incendie portables,"index, follow",https://www.portable-fire-pumps.com/fr/features/,3,90,42,0.674,,,fr,2026-03-24 13:26:41,/fr/features/,www.portable-fire-pumps.com,true,true,false,false,false,true,false,true,true,
https://www.portable-fire-pumps.com/en/products/fk500-a/,text/html; charset=UTF-8,200,OK,Indexable,,FK500-A Portable Fire Pump | Shibaura | Kojex,"Durable, well-balanced performance. Balanced, durable pump engineered for long service life in harsh conditions.",FK500-A,"index, follow",https://www.portable-fire-pumps.com/en/products/fk500-a/,3,10,45,0.538,,,en,2026-03-24 13:26:42,/en/products/fk500-a/,www.portable-fire-pumps.com,true,true,false,false,true,false,false,true,true,
https://www.portable-fire-pumps.com/en/products/p572s-a/,text/html; charset=UTF-8,200,OK,Indexable,,P572S-A Portable Fire Pump | Shibaura | Kojex,Highest discharge performance of our lineup. High-output fire pump built for demanding operations and rapid priming.,P572S-A,"index, follow",https://www.portable-fire-pumps.com/en/products/p572s-a/,3,13,45,0.529,,,en,2026-03-24 13:26:42,/en/products/p572s-a/,www.portable-fire-pumps.com,true,true,false,false,true,false,false,true,true,
https://www.portable-fire-pumps.com/fr/resources/,text/html; charset=UTF-8,200,OK,Indexable,,Ressources | Portable Fire Pumps,"Accédez aux catalogues Shibaura, aux manuels d’utilisation, aux listes de pièces et aux consignes d’entreposage.",Documentation et listes de pièces,"index, follow",https://www.portable-fire-pumps.com/fr/resources/,3,126,68,0.398,,,fr,2026-03-24 13:26:43,/fr/resources/,www.portable-fire-pumps.com,true,true,false,false,false,true,false,true,true,
https://www.portable-fire-pumps.com/fr/long-distance-relay-pumping/,text/html; charset=UTF-8,200,OK,Indexable,,Relais d’eau sur longue distance | Portable Fire Pumps,Découvrez comment le pompage en relais soutient l’acheminement d’eau sur longue distance et quelles pompes conviennent aux opérations soutenues.,Relais d’eau sur longue distance,"index, follow",https://www.portable-fire-pumps.com/fr/long-distance-relay-pumping/,3,29,43,0.89,,,fr,2026-03-24 13:26:42,/fr/long-distance-relay-pumping/,www.portable-fire-pumps.com,true,true,false,false,false,true,false,true,true,
https://www.portable-fire-pumps.com/en/products/ft510-a/,text/html; charset=UTF-8,200,OK,Indexable,,FT510-A Portable Fire Pump | Shibaura | Kojex,Strong power with Shibaura's original air-cooled engine. Big-bore air-cooled performance with fast starting and quick valve control for demanding field use.,FT510-A,"index, follow",https://www.portable-fire-pumps.com/en/products/ft510-a/,3,15,45,0.519,,,en,2026-03-24 13:26:47,/en/products/ft510-a/,www.portable-fire-pumps.com,true,true,false,false,true,false,false,true,true,
https://www.portable-fire-pumps.com/en/products/ff500ar-a/,text/html; charset=UTF-8,200,OK,Indexable,,FF500AR-A Portable Fire Pump | Shibaura | Kojex,Auto Relay for long-distance water delivery. Auto-relay pump for long-distance water delivery and efficient operations.,FF500AR-A,"index, follow",https://www.portable-fire-pumps.com/en/products/ff500ar-a/,3,10,45,0.368,,,en,2026-03-24 13:26:47,/en/products/ff500ar-a/,www.portable-fire-pumps.com,true,true,false,false,true,false,false,true,true,
https://www.portable-fire-pumps.com/fr/products/ff500ar-a/,text/html; charset=UTF-8,200,OK,Indexable,,FF500AR-A Pompe incendie portative | Shibaura | Kojex,Auto-relais pour l’acheminement d’eau sur longue distance. Pompe auto-relais conçue pour l’acheminement d’eau sur longue distance et l’efficacité opérationnelle.,FF500AR-A,"index, follow",https://www.portable-fire-pumps.com/fr/products/ff500ar-a/,4,10,45,0.514,,,fr,2026-03-24 13:26:49,/fr/products/ff500ar-a/,www.portable-fire-pumps.com,true,true,false,false,false,true,false,true,true,
https://www.portable-fire-pumps.com/fr/products/ft510-a/,text/html; charset=UTF-8,200,OK,Indexable,,FT510-A Pompe incendie portative | Shibaura | Kojex,"Grande puissance grâce au moteur Shibaura refroidi à l’air. Performance élevée du moteur refroidi à l’air, avec démarrage rapide et commande de vanne précise pour les interventions exigeantes.",FT510-A,"index, follow",https://www.portable-fire-pumps.com/fr/products/ft510-a/,4,15,45,0.49,,,fr,2026-03-24 13:26:49,/fr/products/ft510-a/,www.portable-fire-pumps.com,true,true,false,false,false,true,false,true,true,
https://www.portable-fire-pumps.com/fr/products/fk500-a/,text/html; charset=UTF-8,200,OK,Indexable,,FK500-A Pompe incendie portative | Shibaura | Kojex,"Performance durable et équilibrée. Pompe équilibrée et robuste, conçue pour une longue durée de service dans des conditions difficiles.",FK500-A,"index, follow",https://www.portable-fire-pumps.com/fr/products/fk500-a/,4,10,45,0.516,,,fr,2026-03-24 13:26:50,/fr/products/fk500-a/,www.portable-fire-pumps.com,true,true,false,false,false,true,false,true,true,
https://www.portable-fire-pumps.com/fr/products/tf516mh-ab/,text/html; charset=UTF-8,200,OK,Indexable,,TF516MH-AB Pompe incendie portative | Shibaura | Kojex,"La plus compacte de sa catégorie. Pompe la plus compacte de sa catégorie, conçue pour un déploiement rapide et une installation facile sur véhicule.",TF516MH-AB,"index, follow",https://www.portable-fire-pumps.com/fr/products/tf516mh-ab/,4,15,45,0.308,,,fr,2026-03-24 13:26:50,/fr/products/tf516mh-ab/,www.portable-fire-pumps.com,true,true,false,false,false,true,false,true,true,
https://www.portable-fire-pumps.com/fr/products/p572s-a/,text/html; charset=UTF-8,200,OK,Indexable,,P572S-A Pompe incendie portative | Shibaura | Kojex,Débit de refoulement le plus élevé de la gamme. Pompe incendie portative à haut débit conçue pour les interventions exigeantes et un amorçage rapide.,P572S-A,"index, follow",https://www.portable-fire-pumps.com/fr/products/p572s-a/,4,13,45,0.401,,,fr,2026-03-24 13:26:50,/fr/products/p572s-a/,www.portable-fire-pumps.com,true,true,false,false,false,true,false,true,true,
https://www.portable-fire-pumps.com/fr/products/ft300-400-a/,text/html; charset=UTF-8,200,OK,Indexable,,FT300 / 400-A Pompe incendie portative | Shibaura | Kojex,Compacte et légère. Pompe à incendie portative légère conçue pour une mise en œuvre rapide et un débit fiable.,FT300 / 400-A,"index, follow",https://www.portable-fire-pumps.com/fr/products/ft300-400-a/,4,15,45,0.51,,,fr,2026-03-24 13:26:50,/fr/products/ft300-400-a/,www.portable-fire-pumps.com,true,true,false,false,false,true,false,true,true,
